comment,rating,username,user_evaluation
"Удобный Когда-то оформлял подписку на Netflix, потом забыл о ней из-за болезни Долго думал покупать ли подписку на Нетфликс, ведь она стоит не маленьких денег, но все таки решился и не...  Организации сайта   Нет",5,Nilufar01,positive
"лучший онлайн-кинотеатр Я уже несколько лет пользуюсь сервисом Netflix и могу с уверенностью сказать, что он является одним из лучших онлайн-кинотеатров на сегодняшний день. Недавно я решил поделиться своими впечатлениями о нем. Первое, что бросается в глаза...  удобный интерфейс и качество  сложно сказать ведь разные фильмы нравятся разным людям",5,mokakoi,positive
"Очень крутое приложение Подписку нам подарила сестра мужа. Очень классный контент, дети освоили очень быстро. Качество отличное. Оформление доступное. Приложение очень хорошо реагирует на ваши желания и интересы. Рекомендую всем. 0+ и старше. Любой возраст найдет что посмотреть...  Просто, удобно, оперативно, качественно,   К сожалению не все телевизоры поддерживают данное приложение но если приобрести дополнительную приставку это легко исправить ",5,MiraMAV,positive
"Есть интересные сериалы и фильмы Ну что сказать... Моя работа связанна с офисом побольшей части и посмотреть сериалы и фильмы можно много где, но тут качество видео и звука шикарные. Но есть одно но! Я толерантен ко всем неформальным движениям...  Звук, качество видео, скорость загрузки, удобный интерфейс  Цена, всё больше фильмов непристойного содержания",4,Mikhail MD,positive
"Это не кино Дважды пытались воспользоваться услугами и открыть подписку. В первый раз хотели посмотреть сериал Фауда. После начала просмотра выяснилось, что формат изображения маштабирован кратно, так, что смотреть невозможно. Со скрипом от услуги отказались и деньги нам...  Их нет  Сплошные",1,Андрей 121,negative
"Обалденно, качественно, на высшем уровне Приветствую, дорогой мой читатель! Если хочешь посмотреть интересные фильмы и сериалы, с качественным музыкальным оформлением, озвучкой и шикарной картинкой, то смело заходи на «Netflix». Уже более одного года отдаю предпочтение только ему! Здесь ты найдёшь...  Качественное оформление, шикарный звук, профессиональная картинка  Нет",5,Julietta-N91,positive
"Как жаль, до новых встреч Был любимый онлайн-кинотеатр. ОЧЕНЬ жалко, что ушли от нас. Можно было смотреть всякие разные новинки, удобно, что оригинальные сериалы выходили сразу сезоном. Даже некоторые русские фильмы были, что тоже...  Удобный интерфейс, большой выбор   Ушли из страны",2,pavlovanadezsjds,negative
"Пользовался данной платформой давненько, и по периоду пользования - мне все нравилось, придираться не к чему. добрый день! Хочу поделиться своим мнением о Netflix. Пользовался данной платформой давненько, и по периоду пользования - мне все нравилось, придираться не к чему. Огромный выбор жанров. Отличное оформление, что меня всегда радует, так как...  Огромный выбор жанров. Отличное оформление.   огромный минус - цена",4,n1nfisss,positive
Онлайн кинотеатр нетфликс хороший и качественный Онлайн кинотеатр нетфликс лучший! Там только самые лучшие и качественные фильмы! Я в восторге! Постоянно смотрю там фильмы. Все...  Качественные фильмы  Надо платить за подписку,5,Злата1984,positive
"Осталась очень довольна Отличное приложение для просмотра фильмов (сериалов) но не всегда есть русская озвучка отлично подойдёт тем кто учит английский по сериалам, еще можно сохранять видео что тоже очень удобно особенно когда ты в дороге и у...  Удобно   Дорого, мало русской озвучки",5,Katerinka17ye,positive
"Один из самых удобных онлайн-кинотеатров Я около полугода использовал Netflix в качестве своего основного онлайн-кинотеатра, и мой опыт использования был вполне положительным. Во-первых, мне очень нравится огромный каталог фильмов и сериалов, доступных на платформе. Netflix предлагает широкий выбор различных жанров...  Огромный выбор контента, удобство использования, высокое качество  Не обнаружил",5,Total Dark,positive
"Лучшая плотформа Для просмотра фильмов, эта платформа самая подходящая, на ней качественный и оригинальный перевод, который для многих настоящая находка, в том числе и для меня. Netflix - подходит для семейного просмотра: экшена, драммы, и т. д...  Перевод, сюжет, графика   Нужен хороший интернет ",5,daaliya,positive
"советую очень советую онлайн кинотеатр, очень большой выбор фильмов, очень легкий и быстрый поиск нужного тебе фильма. очень понравились цены на подписки, очень дешево я бы сказал. очень приятно смотреть ведь очень хорошее качество фильмов и...  много фильмов, хорошее качество  не нашел",5,Likerblock,positive
"Съемка уникальных фильмов. Это был лучший видеохостинг в России. Сейчас, к сожалению, оплачиваться приходится, через друзей Казахстана. Но сейчас не об этом. Нетфликс постит всегда очень увлекательные сериалы. Так же есть подборка собственного производства сериалов. Удобный интерфейс для...  Качество, уникальный контент.  Нет",5,RitaFrolovskayay,positive
"Очень хорошо Я имею личный опыт просмотра фильмов и сериалов на Netflix, но могу сказать, что по отзывам пользователей это один из самых популярных и удобных сервисов стриминга контента на сегодняшний день. Он предлагает огромный выбор фильмов...  Хороший, удобный   Нету ",5,Haldi95,positive
"Впечатляюще Всегда смотрю фильмы и сериалы только на этой киноплатформе. Никогда не разочаровывалась в качестве. Всем советую только Netflix, множество интересных сериалов и фильмов... Простыми словами...  множество плюсов, качество, интересные фильмы и сериалы и многое другое   их нет",5,toolj,positive
"Жалко что в России не доступен Раньше смотрела все сериалы только на Netflix, но к сожалению доступ в России для него теперь закрыт. Это очень плохо. Ведь все лучшее выходило быстро и сразу. Смотрела в этом кинотеатре почти со всех телефонов...  Быстрый доступ был, качество просмотра, интерестные новинки и не так уж дорого в добавок без рекламы  Закрыт ",5,Pollidance2023,positive
"Самый любимый онлайн-кинотеатр Я большой любитель фильмов и сериалов, не представляю своей жизни без них. И лучшее, что я когда-либо находила это Netflix. Обычно смотрю только там и всегда довольна любой находкой в этом кинотеатре. Огромнейший выбор сериалов...  Только плюсы  нет",5,Alisha5656,positive
Невероятно крутой ассортимент фильмов на любой вкус С онлайн платформой Нетфликс я познакомился совсем недавно и мне уже все понравилось. Мои эмоции от Нетфликса в кратце это просто БОМБА мне очень понравилось платформа своей простотой и удобством использования. После подключения мои глаза...  Хорошо удобно и быстро   Дорого и на английском языке ,4,UKtamov,positive
"Впринципе хороший Раньше нетфликс был одним из лучших сервисов сам смотрел игру в кальмара, годзилу, чернобыль, чёрное зеркало. Но когда началась дикая повестка тогда перестал и...  Количество фильмов, качество фильмов  ОГРОМНАЯ лгбт повестка",3,f0rmaL,negative
"Очень впечатляет Я воспользовался услугой фильмов и нашел её приятной и увлекательной. Этот сервис позволил мне расслабиться и насладиться хорошими фильмами, которые были разнообразны и интересны. Благодаря этому я смог отвлечься от повседневных проблем и насладиться приятным...  Качество и звук просто впечатляет  Отсутствует",5,Yan7,positive
"Лучший сайт для фильмов! Изумительная платформа для потоковой передачи фильмов и сериалов! Netflix предлагает огромный выбор контента для всех возрастных групп и вкусов. Я наслаждаюсь просмотром фильмов и сериалов на Netflix каждый день. Качество видео является одним из лучших...  Почти все фильмы в высоком качестве, а умные алгоритмы подберут фильм для вас!  Не дешевая подписка!",5,Asonss,positive
"К-Конфорт Пользуюсь Netflix уже 3 год и хочу рассказать вам свое мнение Служба Поддержки: Были проблемы с сервисом (Нельзя было зайти в Netflix)Мне быстро ответили и помогли с проблемой Услуги: Стоимость тарифов оправдают ожидания. Фильмы, Сериалы...  Поддержка услуги комфорт  не нашел не одного !",5,Martiniineo,positive
"Удобный сервис для просмотра фильмов и сериалов, с большим выбором контента. Netflix - это один из лучших онлайн-кинотеатров, которые я когда-либо использовал. Он предлагает большое количество фильмов и сериалов, доступных для потоковой передачи, и обновляет свою библиотеку регулярно. Возможность смотреть фильмы и сериалы на любом устройстве...  Плюсы: Большой выбор контента, оригинальные фильмы и сериалы, удобный интерфейс, персонализированные рекомендации.  Минусы: Высокая цена подписки, ограничения на одновременное использование аккаунта, некоторые фильмы и сериалы могут быть удалены.",5,Shakhzod007,positive
"Достойный онлайн-кинотеатр Для практики английского языка остановилась именно на этой онлайн платформе, так как аналогичные онлайн кинотеатры оказались с существенными недостатками (бесконечная реклама, неправильные субтитры, долгая регистрация, качество фильма и звука). Преимущества: - легкое подключение и отписка...  доступность, легкость подключения  не все фильмы доступны",4,gulzirazhakanova,positive
"Красивая обертка, но далеко не во всем вкусная начинка Netflix не так давно официально зашел на российский рынок. Пользовался сервисом и до этого в течение года с перерывами. Общее впечатление - сочно, эстетически возбуждающе, функционально, но... Есть большие проблемы с объемом русифицированного контента. Я...  Дизайн, навигация, контент  Недостаточный уровень русификации, неоправданно завышенная цена подписки",4,МаксимШироков,positive
"это здорово Фильмы и мультфильмы Netflix великолепны. Я наслаждался ими. например Мадагаскарские пингвины Мадагаскара. Мне очень нравится мультик Кунг-фу Панда, они потрясающие. Я посмотрел все серии ужастика АСТРАЛ и посмотрел много мультфильмов этой компании. Рекомендую другим...  Nelflix очень привлекателен, мой отец хочет посмотреть его еще раз. Мультики тоже отличные, особенно пингвины Мадагаскара, естественность звука хорошая, песни в нем тоже хорошие.    Фильмы Нетфликс и мультфильмы с ютуба не полностью выходят, нужно искать в гугле, на ютубе смотреть проще, чем в гугле",5,Nahide,positive
"Улыбающийся аватар в хоррор-кинотеатре — это не смешно Когда-то оформлял подписку на Netflix, потом забыл о ней из-за болезни (типа амнезия и алкоголизм, к тому же интернета не было в лесу). Я вспомнил об онлайн-кинотеатре лишь тогда, когда пришло оповещение, что будет списано...  Удобно использовать в любом месте  Правила использования",4,TerraBit,positive
"Широкий выбор контента, но не для каждого. Netflix предлагает обширную библиотеку контента, включая оригинальные сериалы и фильмы, а также произведения различных студий со всего мира. Возможность смотреть контент без рекламы и выбор различных вариантов качества видео являются приятными особенностями. Однако, как и...  Нет рекламы, доступность  Ограниченный контент в некоторых регионах, ежемесячная плата",4,Kartoshe4ka201,positive
"Большая библиотека сериалов и фильмов Netflix - это потрясающая платформа для стриминга фильмов и сериалов, которая заслуживает искренней похвалы. С самого начала использования Netflix я оценил его широкий выбор контента, который удовлетворяет вкусы разных категорий зрителей. Одно из главных преимуществ...  Широкий выбор фильмов и сериалов   Жаль, что в России теперь не доступен",4,v13166,positive
"хорошее приложение с большим количеством фильмов, смотрю фильмы там часто, отличное качество, перевод не тормозит Отличный сайт для просмотра фильмов и сериалов, подходит для всех возрастов, на любой вкус. Картинка не тормозит, перевод хороший без...  Качество звука, качество картинки, большой выбор фильмов и сериалов. Подходит для всех возрастов, быстрая загрузка не тормозит  Нет минусов, одни плюсы. Всегда все хорошо грузит, без тормозов, картинка не тормозит, звук хороший",5,ryshana1listru,positive
"Интересный Очень интересные фильмы. Всегда новые и новые фильмы и сериалы. Бесплатно можно посмотреть любой фильм. Всегда пользуюсь этой компанией. Помню каждый фильм что смотрела здесь и не разу не разочаровалась в каком либо не качестве...  Качественный контент, хорошее качество фильма, интересные фильмы, бесплатный просмотр.   Допустима реклама ",5,Loginotrabota,positive
"Удобно, хороший интерфейс и цена подписки Отличный сервис для просмотра видео-контента Хорошее качество видео и звука. Большинство новинок в 4к качестве Я считаю, что самый известный онлайн-кинотеатр, красивый удобный интерфейс и качество...  Высококачественная оригинальная озвучка  Отличное приложение и функции  Автономная загрузка на мобильных устройствах  Нет",4,1shelk,positive
"Если говорить или писать кратко , то это однозначно любовь )) NETFLIX привлёк одним из очень интересных сериалов «Бумажный дом» и ещё одним не менее интересным фильмом «Люпен» однозначно рекомендую к просмотру. После просмотра этих фильмов, netflix стал просто любимым онлайн-кинотеатром нашей семьи...  Множество фильмов и сериалов , разнообразие , качество потрясное   Не нашла ",5,Ali0707,positive
"То, что нужно! Интересно и удобно. Само название Netflix говорить должно само за себя. Это очень удобный сервис. Все самое новое интересное и рейтинговое только здесь! Это не реклама, а своё мнение о пользовании 2-х летнем. Тут и сериалы, которые только...  Качество, контент, премиум .  Проблемы в России. Немного дороговато.",4,Frist74,positive
"Отличный вариант для всей семьи Netflix это отличный выбор доля всей семьи, есть фильмы всех возможных жанров, большинство из которых удостоены наград Есть контент для детей Отличное качество звука и видео Но всё же есть и минусы, с которыми я...  Огромное количество фильмов,сериалов и передач  Не на всех фильмах есть перевод.не дешево",4,vikanikitina95,positive
"Этот сервис производит отличное впечатление В целом, Netflix - это фантастическая потоковая платформа, которая предоставляет замечательный оригинальный контент. Несмотря на наличие таких недостатков, как ротация контента, различия в качестве контента и региональные ограничения, о которых я напишу чуть ниже, плюсы...  Много фильмов и сериалов, качество  Часто много ""повестки"", ротация контента",4,Kiriilll2323,positive
"Неудачная подписка, больше не планируем покупать Доброго дня! Год назад покупали с мужем подписку на Нетфликс, использовали полгода. Мнение о ней самое противоречивое, вроде выбор есть, но смотреть нечего. У новых сериалов нет русского языка, что тоже иногда минус, так как...  Оригинальные сериалы (Половое воспитание, Очень странные дела)  Цена, выбор фильмов и сериалов",3,Ekaterina-bs,negative
"Много фильмов на любые предпочтения. Хорошое приложение простой интерфейс, есть пробная версия на 30 дней, что бы понять покупать подписку или нет, много разнообразного жанра, на все вкусы, можно смотреть на любом устройстве, так же в этом приложении нет рекламы...  Много жанров, нет рекламы, есть пробный период на 30 дней,простой интерфейс,   можно скачивать фильмы.    Единственное, что хочется сказать редко выходят новинки.",5,MariSt69,positive
"Хороший сайт. Самый лучший сайт для просмотра фильмов, никогда не тормозит, всегда все ярко и интересно. Неплохая цена, и отличная работа да свою...  Не тормозит.  Мало рекламы.  Хороший звук.  Хорошая передача цветов.  Отличная цена для подписки данного сервиса.    Единственное,что можно считать за минус,это то,что только по подписке,можно смотреть фильмы без интернета.",5,tsvetkova988,positive
"Офигенный Обожала Netflix до его ухода из России. С мужем не смотрели ничего, кроме фильмов с Netflix. Шикарные фильмы, документальные, исторические, познавательные. Много нового и интересного узнали, благодаря Netflix. Очень жаль, что ушёл с российского рынка...  Контент на любой вкус  Ушёл из России",5,Lalapland,positive
"балдею Все мы в курсе что за махина этот Netflix. Вот и я присоединилась к этой огромной сети. Просто сносит мозг от радости и не могу не поделиться. Недавно друг предложил мне свой аккаунт чтобы я...  качество, выбор, удобство  нет",5,natalochka-san,positive
"Любимая платформа для просмотра фильмов и сериалов Один из моих любимых платформ для просмотров фильмов и сериалов! Большой выбор, высокое качество и хорошая озвучка - это все про нетфликс! Выбор как и русских, так и зарубежных фильмов/сериалов. Особенно важно, что самые долгожданные...  Доступность, большой выбор, высокое качество   Не на все фильмы и сериалы есть русская озвучка, приходится ждать",5,Black888,positive
"Удовлетворительное Пользовался разными кино-сервисами, пытался найти самый удобный и качественный В итоге после короткого исполтзования этого приложения понял, что это то что нужно. Простая регистрация, удобство использования и куча классных фильмов на любой вкус. Немного долго...  Простая регистрация  Удобство использования  Классный дизайн  Оптимизация на уровне  Нет",5,LurMiss,positive
"Отличный сервис, предназначенный для просмотра фильмов и сериалов Замечательная платформа для просмотра фильмов и сериалов. Что сподвигло на приобретение подписки, так это то, что Netflix является самым знаменитый онлайн-кинотеатр. Во-вторых, качество сериалов на высшем уровне (сама картинка и звук). В-третьих, всем предлагается возможность...  Хороший звук, отличная картинка и качество. Удобный интерфейс и профессиональный перевод.    Не обнаружено",5,aaneego,positive
"Довольна Я часто выбираю новинки именно на Netflix, так как здесь всегда есть актуальные фильмы и сериалы. Здесь представлено огромное количество контента, включая русские профессиональные переводы. Качество картинки и звука на Netflix просто шикарное. Я всегда...  Четкий звук; постоянно появляются новинки сериалов и фильмов  Привязка карты; цена подписки",4,Maria022,positive
"рекомендую Обожаю Нетфликс) Он славится первую очередь количеством проектов, которые выходят на их сервисе. Они создают сотни фильмов и сериалов в год, стараясь завлечь как можно больше подписчиков, а это огромный...  + Очень большое разнообразие фильмов,сериалов и т.п  +Отличное качество звука и самого изображения     -Не везде есть перевод",5,blublade,positive
Я фанатка Здравствуйте читали отзовика. Я давный фанатка Netflix. Их сериалы фильмы и мультфильмы превосходят мои ожидания чаще всего. Так же мне нравится создатели не забывают о коротких сериалах и делают их захватывающими. Одним словом...  Новики  Нет нет нет,5,Romshca,positive
"Сойдёт Здравствуйте дорогие читатели отзовик! Я часто смотрю сериалы, фильмы, мультфильмы, аниме, дорамы, документальные фильмы и прочее... и по мимо гугла, смотрела ещё и на Нетфликсе. Всё очень нравилось, да и сейчас нравится. Сериалы классные, никогда...  Разнообразие фильмов, сериалов, функции, и многое другое.   Иногда нет русской озвучки и на многих других языках (но есть субтитры).",4,Ялюблюлюдей,positive
"Инновационный и разнообразный. Один из самых важных аспектов Netflix - это его удобство. Я могу смотреть фильмы и сериалы на любом устройстве - телевизоре, компьютере или смартфоне. Это действительно удобно для просмотра в пути.  Плюсы: широкий выбор контента, персонализированные рекомендации, удобство использования на разных устройствах, собственные качественные сериалы.     Минусы: ограничения в доступе к некоторым контентам, высокая стоимость подписки, зависимость от интернет-соединения.",5,Artiommss,positive
"Очень удобно и комфортно Множество озвучек, субтитров, хорошее качество картинки и хороший звук. Есть сортировка по жанрам. Есть фильмы, мультфильмы, сериалы, аниме, мультики. На аккаунт можно добавить несколько...  Можно смотреть фильмы в оригинале  Нет",5,kiykka,positive
"Отличный канал! Я подписалась на Netflix уже более года назад. Сам интерфейс на английском языке. И возможно, первое время придется приноровиться. Но там нет ничего сложного. Очень много фильмов, сериалов и передач, в том числе с русским...  много новинок, много фильмов с русским переводом  не нашла",5,Severnaya Dama,positive
Идеальное решение Очень удобный кинотеатр. Можно посмотреть все новинки интересных сериалов. Качество изображения и звук на высоте. Пока не нашла более подходящего для меня...  Качество  Не обнаружила ,5,Dinasdivana,positive
"Просто великолепный сервис для просмотра сериалов и фильмов различного жанра Netflix - это сайт с множеством сериалов и фильмов, который захватил весь мир. Благодаря огромной библиотеке как новых, так и классических фильмов и сериалов, неудивительно, что Netflix стал основным сервисом для всех, кто любит смотреть...  Разнообразие контента  Удобство в пользовании   Множество инструментов   Цена подписки( ",5,Roflman,positive
"Большой выбор фильмов и сериалов бесплатно Приветствую всех, кто читает отзывы. В Netflix маленький выбор фильмов на русском. Многие фильмы даже не переведены на русский язык. Конечно, есть субтитры, но так не удобно смотреть, потому что хочется погрузиться в сюжет, а...  Можно смотреть, что хочешь в хорошем качестве   Мало хороших фильмов ",3,Lizaurtaeva,negative
"Хороший кинотеатр Нравится что много фильмов и сериалов можно посмотреть в хорошем качестве и на другом языке, качество на высшем уровне, пользуюсь это площадкой не больше года, радует что можно смотреть и с телефона и телевизора, нравятся...  Много контента для просмотра, можно смотреть в отличном качестве, много разных сериалов и фильмов, хорошее качество звука   Пока не нашла",5,Lubovkovalcuk78,positive
"Моя боль( Netflix - это моя любовь, ну почему его запретили в нашей стране((((( С карантина пользовалась этим кинотеатром, обожала до боли в сердце, я конечно не киноман, да и впх принципе могу использовать КиноПоиск, но есть...  Отличные  фильмы и сериалы с хорошим сюжетом  Запретили в России и теперь тяжело смотреть, приходится пытаться обходить эту систему дополнительной оплатой, через непроверенные сайты(",5,Lirikabixi,positive
"Лучшее, что со мной произошло! Все наверное слышали про Нетфликс, но мало кто им пользуется. Популярность эта платформа набрала и во время карантина. очень классная платформа. На ней можно посмотреть сериалы, фильмы, мультфильмы. Можно на английском, с субтитрами, на русском...  -подбор сериалов, кино под тебя -можно подтянуть английский -нет рекламы  -их нет",5,Сарах,positive
"отличная платформа! Отличный онлайн кинотеатр! Хорошая картинка, звук, множество фильмов и сериалов! Люблю на выходных засесть и посмотреть сериалы, очень легко находить все! Есть все на любой вкус! Качество...  звук, на лютой вкус!  не нашла",5,SAMOS278 IJSKX,positive
"Оригинальность Нетфликс лучший среди ""документальщиков"", снимают классные и захватывающие фильмы и сериалы. Регулярно пользуюсь данным сервисом, широкий простор для выбора просмотра на досуге, как одному, так и в семье, под любую...  Оригинальный  Не обнаружено",5,Я Артёмка,positive
"Очень удобный Фактически на сегодня это единственный сервис предоставляющий контент и не просто какие-то программы, а фильмы и сериалы. Вчера попробовала на Sony SmartTV... картинка просто супер. А платить или не платить, каждый решает сам по наличию...  Загрузка фильмов в оффлайн на устройства  Настройка и отображение субтитров  Невысокая цена на подписку по сравнению с конкурентами  Можно приобретать или арендовать контент от других студий  Смена языка  Полноценной бесплатной подписки не предусмотрено",5,Valeria151097,positive
"Лучший онлайн кинотеатр Недавно на своей консоли я увидел приложение Нетфликс и сразу же его установил и не пожалел, Нетфликс лучший онлайн кинотеатр, на Нетфликсе есть все лучшие сериалы, аниме, фильмы и мультсериалы, так же в приложение удобный...  Удобный интерфейс, бесплатная подписка, сами фильмы и сериала  цена за подписку",5,Linquizz,positive
"Мое общее впечатление о Netflix положительное Netflix- это платформа, которая отлично подходит для любителей фильмов и сериалов. Мне очень нравится огромная библиотека контента в различных жанрах, включая оригинальные программы, которые отличаются качественным сюжетом и актерской игрой. В целом, Netflix представляет собой...  Огромный выбор контента: Netflix предлагает огромную библиотеку фильмов, сериалов, документальных программ и оригинального контента.  Ограничение доступа к контенту: Некоторые фильмы и сериалы могут быть недоступны в некоторых странах из-за правовых ограничений.",3,Parsifal01,negative
"Очень удобный, и крутой кинотеатр Нетфликс один из самых крутых кинотеатр такие интересные фильмы, все года с интересной тематикой и сценарием, не разумные видео плохого фильма на нетфликс, все самое лучше, очень рекомендую посмотреть сериалы от нетфликс как : избежать...  Очень крутые сериалы, фильмы, мультфильм, много очень интересных и захватывающие, очень глубоки и не утомительные.  Не знаю что написать напишу, АННА ЛИЗЗА КИТИНГ КРАШ)))",5,Dengallager1408,positive
