"annotation_id","annotator","comment","created_at","id","lead_time","rating","sentiment","updated_at","user_evaluation","username"
1,"1","Удобный Когда-то оформлял подписку на Netflix, потом забыл о ней из-за болезни Долго думал покупать ли подписку на Нетфликс, ведь она стоит не маленьких денег, но все таки решился и не...  Организации сайта   Нет","2024-06-09T17:45:06.395006Z",1,8.041,5,"Positive","2024-06-09T17:45:06.395006Z","positive","Nilufar01"
2,"1","лучший онлайн-кинотеатр Я уже несколько лет пользуюсь сервисом Netflix и могу с уверенностью сказать, что он является одним из лучших онлайн-кинотеатров на сегодняшний день. Недавно я решил поделиться своими впечатлениями о нем. Первое, что бросается в глаза...  удобный интерфейс и качество  сложно сказать ведь разные фильмы нравятся разным людям","2024-06-09T17:45:39.458237Z",2,4.069,5,"Positive","2024-06-09T17:45:39.458237Z","positive","mokakoi"
3,"1","Очень крутое приложение Подписку нам подарила сестра мужа. Очень классный контент, дети освоили очень быстро. Качество отличное. Оформление доступное. Приложение очень хорошо реагирует на ваши желания и интересы. Рекомендую всем. 0+ и старше. Любой возраст найдет что посмотреть...  Просто, удобно, оперативно, качественно,   К сожалению не все телевизоры поддерживают данное приложение но если приобрести дополнительную приставку это легко исправить ","2024-06-09T17:46:50.171812Z",3,21.534,5,"Positive","2024-06-09T17:46:50.171812Z","positive","MiraMAV"
4,"1","Есть интересные сериалы и фильмы Ну что сказать... Моя работа связанна с офисом побольшей части и посмотреть сериалы и фильмы можно много где, но тут качество видео и звука шикарные. Но есть одно но! Я толерантен ко всем неформальным движениям...  Звук, качество видео, скорость загрузки, удобный интерфейс  Цена, всё больше фильмов непристойного содержания","2024-06-09T17:46:54.566653Z",4,1.866,4,"Positive","2024-06-09T17:46:54.566653Z","positive","Mikhail MD"
5,"1","Это не кино Дважды пытались воспользоваться услугами и открыть подписку. В первый раз хотели посмотреть сериал Фауда. После начала просмотра выяснилось, что формат изображения маштабирован кратно, так, что смотреть невозможно. Со скрипом от услуги отказались и деньги нам...  Их нет  Сплошные","2024-06-09T17:47:01.435783Z",5,10.772,1,"Negative","2024-06-09T17:47:01.435783Z","negative","Андрей 121"
6,"1","Обалденно, качественно, на высшем уровне Приветствую, дорогой мой читатель! Если хочешь посмотреть интересные фильмы и сериалы, с качественным музыкальным оформлением, озвучкой и шикарной картинкой, то смело заходи на «Netflix». Уже более одного года отдаю предпочтение только ему! Здесь ты найдёшь...  Качественное оформление, шикарный звук, профессиональная картинка  Нет","2024-06-09T17:47:34.396567Z",6,3.075,5,"Positive","2024-06-09T17:47:34.396567Z","positive","Julietta-N91"
7,"1","Как жаль, до новых встреч Был любимый онлайн-кинотеатр. ОЧЕНЬ жалко, что ушли от нас. Можно было смотреть всякие разные новинки, удобно, что оригинальные сериалы выходили сразу сезоном. Даже некоторые русские фильмы были, что тоже...  Удобный интерфейс, большой выбор   Ушли из страны","2024-06-09T17:47:42.191189Z",7,4.035,2,"Negative","2024-06-09T17:47:42.191189Z","negative","pavlovanadezsjds"
8,"1","Пользовался данной платформой давненько, и по периоду пользования - мне все нравилось, придираться не к чему. добрый день! Хочу поделиться своим мнением о Netflix. Пользовался данной платформой давненько, и по периоду пользования - мне все нравилось, придираться не к чему. Огромный выбор жанров. Отличное оформление, что меня всегда радует, так как...  Огромный выбор жанров. Отличное оформление.   огромный минус - цена","2024-06-09T17:47:46.406814Z",8,2.047,4,"Positive","2024-06-09T17:47:46.406814Z","positive","n1nfisss"
9,"1","Онлайн кинотеатр нетфликс хороший и качественный Онлайн кинотеатр нетфликс лучший! Там только самые лучшие и качественные фильмы! Я в восторге! Постоянно смотрю там фильмы. Все...  Качественные фильмы  Надо платить за подписку","2024-06-09T17:47:51.563155Z",9,1.519,5,"Positive","2024-06-09T17:47:51.563155Z","positive","Злата1984"
10,"1","Осталась очень довольна Отличное приложение для просмотра фильмов (сериалов) но не всегда есть русская озвучка отлично подойдёт тем кто учит английский по сериалам, еще можно сохранять видео что тоже очень удобно особенно когда ты в дороге и у...  Удобно   Дорого, мало русской озвучки","2024-06-09T17:47:55.501219Z",10,1.704,5,"Positive","2024-06-09T17:47:55.501219Z","positive","Katerinka17ye"
11,"1","Один из самых удобных онлайн-кинотеатров Я около полугода использовал Netflix в качестве своего основного онлайн-кинотеатра, и мой опыт использования был вполне положительным. Во-первых, мне очень нравится огромный каталог фильмов и сериалов, доступных на платформе. Netflix предлагает широкий выбор различных жанров...  Огромный выбор контента, удобство использования, высокое качество  Не обнаружил","2024-06-09T17:47:59.287992Z",11,1.46,5,"Positive","2024-06-09T17:47:59.288991Z","positive","Total Dark"
12,"1","Лучшая плотформа Для просмотра фильмов, эта платформа самая подходящая, на ней качественный и оригинальный перевод, который для многих настоящая находка, в том числе и для меня. Netflix - подходит для семейного просмотра: экшена, драммы, и т. д...  Перевод, сюжет, графика   Нужен хороший интернет ","2024-06-09T17:48:03.895877Z",12,1.906,5,"Positive","2024-06-09T17:48:03.895877Z","positive","daaliya"
13,"1","советую очень советую онлайн кинотеатр, очень большой выбор фильмов, очень легкий и быстрый поиск нужного тебе фильма. очень понравились цены на подписки, очень дешево я бы сказал. очень приятно смотреть ведь очень хорошее качество фильмов и...  много фильмов, хорошее качество  не нашел","2024-06-09T17:48:07.682229Z",13,1.722,5,"Positive","2024-06-09T17:48:07.682229Z","positive","Likerblock"
14,"1","Съемка уникальных фильмов. Это был лучший видеохостинг в России. Сейчас, к сожалению, оплачиваться приходится, через друзей Казахстана. Но сейчас не об этом. Нетфликс постит всегда очень увлекательные сериалы. Так же есть подборка собственного производства сериалов. Удобный интерфейс для...  Качество, уникальный контент.  Нет","2024-06-09T17:48:12.302927Z",14,1.862,5,"Positive","2024-06-09T17:48:12.302927Z","positive","RitaFrolovskayay"
15,"1","Очень хорошо Я имею личный опыт просмотра фильмов и сериалов на Netflix, но могу сказать, что по отзывам пользователей это один из самых популярных и удобных сервисов стриминга контента на сегодняшний день. Он предлагает огромный выбор фильмов...  Хороший, удобный   Нету ","2024-06-09T17:48:16.007470Z",15,1.743,5,"Positive","2024-06-09T17:48:16.007470Z","positive","Haldi95"
16,"1","Впечатляюще Всегда смотрю фильмы и сериалы только на этой киноплатформе. Никогда не разочаровывалась в качестве. Всем советую только Netflix, множество интересных сериалов и фильмов... Простыми словами...  множество плюсов, качество, интересные фильмы и сериалы и многое другое   их нет","2024-06-09T17:48:19.535160Z",16,1.316,5,"Positive","2024-06-09T17:48:19.535160Z","positive","toolj"
17,"1","Жалко что в России не доступен Раньше смотрела все сериалы только на Netflix, но к сожалению доступ в России для него теперь закрыт. Это очень плохо. Ведь все лучшее выходило быстро и сразу. Смотрела в этом кинотеатре почти со всех телефонов...  Быстрый доступ был, качество просмотра, интерестные новинки и не так уж дорого в добавок без рекламы  Закрыт ","2024-06-09T17:48:23.806383Z",17,1.854,5,"Positive","2024-06-09T17:48:23.806383Z","positive","Pollidance2023"
18,"1","Самый любимый онлайн-кинотеатр Я большой любитель фильмов и сериалов, не представляю своей жизни без них. И лучшее, что я когда-либо находила это Netflix. Обычно смотрю только там и всегда довольна любой находкой в этом кинотеатре. Огромнейший выбор сериалов...  Только плюсы  нет","2024-06-09T17:48:28.840656Z",18,1.488,5,"Positive","2024-06-09T17:48:28.840656Z","positive","Alisha5656"
19,"1","Невероятно крутой ассортимент фильмов на любой вкус С онлайн платформой Нетфликс я познакомился совсем недавно и мне уже все понравилось. Мои эмоции от Нетфликса в кратце это просто БОМБА мне очень понравилось платформа своей простотой и удобством использования. После подключения мои глаза...  Хорошо удобно и быстро   Дорого и на английском языке ","2024-06-09T17:48:34.663769Z",19,3.52,4,"Positive","2024-06-09T17:48:34.663769Z","positive","UKtamov"
20,"1","Впринципе хороший Раньше нетфликс был одним из лучших сервисов сам смотрел игру в кальмара, годзилу, чернобыль, чёрное зеркало. Но когда началась дикая повестка тогда перестал и...  Количество фильмов, качество фильмов  ОГРОМНАЯ лгбт повестка","2024-06-09T17:48:38.390195Z",20,1.692,3,"Negative","2024-06-09T17:48:38.390195Z","negative","f0rmaL"
21,"1","Очень впечатляет Я воспользовался услугой фильмов и нашел её приятной и увлекательной. Этот сервис позволил мне расслабиться и насладиться хорошими фильмами, которые были разнообразны и интересны. Благодаря этому я смог отвлечься от повседневных проблем и насладиться приятным...  Качество и звук просто впечатляет  Отсутствует","2024-06-09T17:48:42.347903Z",21,1.777,5,"Positive","2024-06-09T17:48:42.347903Z","positive","Yan7"
22,"1","Лучший сайт для фильмов! Изумительная платформа для потоковой передачи фильмов и сериалов! Netflix предлагает огромный выбор контента для всех возрастных групп и вкусов. Я наслаждаюсь просмотром фильмов и сериалов на Netflix каждый день. Качество видео является одним из лучших...  Почти все фильмы в высоком качестве, а умные алгоритмы подберут фильм для вас!  Не дешевая подписка!","2024-06-09T17:48:46.014175Z",22,1.408,5,"Positive","2024-06-09T17:48:46.015173Z","positive","Asonss"
23,"1","К-Конфорт Пользуюсь Netflix уже 3 год и хочу рассказать вам свое мнение Служба Поддержки: Были проблемы с сервисом (Нельзя было зайти в Netflix)Мне быстро ответили и помогли с проблемой Услуги: Стоимость тарифов оправдают ожидания. Фильмы, Сериалы...  Поддержка услуги комфорт  не нашел не одного !","2024-06-09T17:48:50.580677Z",23,1.479,5,"Positive","2024-06-09T17:48:50.580677Z","positive","Martiniineo"
24,"1","Удобный сервис для просмотра фильмов и сериалов, с большим выбором контента. Netflix - это один из лучших онлайн-кинотеатров, которые я когда-либо использовал. Он предлагает большое количество фильмов и сериалов, доступных для потоковой передачи, и обновляет свою библиотеку регулярно. Возможность смотреть фильмы и сериалы на любом устройстве...  Плюсы: Большой выбор контента, оригинальные фильмы и сериалы, удобный интерфейс, персонализированные рекомендации.  Минусы: Высокая цена подписки, ограничения на одновременное использование аккаунта, некоторые фильмы и сериалы могут быть удалены.","2024-06-09T17:48:55.058339Z",24,2.491,5,"Positive","2024-06-09T17:48:55.058339Z","positive","Shakhzod007"
25,"1","Достойный онлайн-кинотеатр Для практики английского языка остановилась именно на этой онлайн платформе, так как аналогичные онлайн кинотеатры оказались с существенными недостатками (бесконечная реклама, неправильные субтитры, долгая регистрация, качество фильма и звука). Преимущества: - легкое подключение и отписка...  доступность, легкость подключения  не все фильмы доступны","2024-06-09T17:48:58.872588Z",25,1.623,4,"Positive","2024-06-09T17:48:58.872588Z","positive","gulzirazhakanova"
26,"1","Красивая обертка, но далеко не во всем вкусная начинка Netflix не так давно официально зашел на российский рынок. Пользовался сервисом и до этого в течение года с перерывами. Общее впечатление - сочно, эстетически возбуждающе, функционально, но... Есть большие проблемы с объемом русифицированного контента. Я...  Дизайн, навигация, контент  Недостаточный уровень русификации, неоправданно завышенная цена подписки","2024-06-09T17:49:02.780764Z",26,1.996,4,"Positive","2024-06-09T17:49:02.780764Z","positive","МаксимШироков"
27,"1","это здорово Фильмы и мультфильмы Netflix великолепны. Я наслаждался ими. например Мадагаскарские пингвины Мадагаскара. Мне очень нравится мультик Кунг-фу Панда, они потрясающие. Я посмотрел все серии ужастика АСТРАЛ и посмотрел много мультфильмов этой компании. Рекомендую другим...  Nelflix очень привлекателен, мой отец хочет посмотреть его еще раз. Мультики тоже отличные, особенно пингвины Мадагаскара, естественность звука хорошая, песни в нем тоже хорошие.    Фильмы Нетфликс и мультфильмы с ютуба не полностью выходят, нужно искать в гугле, на ютубе смотреть проще, чем в гугле","2024-06-09T17:49:08.963942Z",27,2.775,5,"Positive","2024-06-09T17:49:08.963942Z","positive","Nahide"
28,"1","Улыбающийся аватар в хоррор-кинотеатре — это не смешно Когда-то оформлял подписку на Netflix, потом забыл о ней из-за болезни (типа амнезия и алкоголизм, к тому же интернета не было в лесу). Я вспомнил об онлайн-кинотеатре лишь тогда, когда пришло оповещение, что будет списано...  Удобно использовать в любом месте  Правила использования","2024-06-09T17:49:12.129635Z",28,1.307,4,"Positive","2024-06-09T17:49:12.129635Z","positive","TerraBit"
29,"1","Широкий выбор контента, но не для каждого. Netflix предлагает обширную библиотеку контента, включая оригинальные сериалы и фильмы, а также произведения различных студий со всего мира. Возможность смотреть контент без рекламы и выбор различных вариантов качества видео являются приятными особенностями. Однако, как и...  Нет рекламы, доступность  Ограниченный контент в некоторых регионах, ежемесячная плата","2024-06-09T17:49:15.730746Z",29,1.69,4,"Positive","2024-06-09T17:49:15.730746Z","positive","Kartoshe4ka201"
30,"1","Большая библиотека сериалов и фильмов Netflix - это потрясающая платформа для стриминга фильмов и сериалов, которая заслуживает искренней похвалы. С самого начала использования Netflix я оценил его широкий выбор контента, который удовлетворяет вкусы разных категорий зрителей. Одно из главных преимуществ...  Широкий выбор фильмов и сериалов   Жаль, что в России теперь не доступен","2024-06-09T17:49:19.280603Z",30,1.303,4,"Positive","2024-06-09T17:49:19.280603Z","positive","v13166"
31,"1","хорошее приложение с большим количеством фильмов, смотрю фильмы там часто, отличное качество, перевод не тормозит Отличный сайт для просмотра фильмов и сериалов, подходит для всех возрастов, на любой вкус. Картинка не тормозит, перевод хороший без...  Качество звука, качество картинки, большой выбор фильмов и сериалов. Подходит для всех возрастов, быстрая загрузка не тормозит  Нет минусов, одни плюсы. Всегда все хорошо грузит, без тормозов, картинка не тормозит, звук хороший","2024-06-09T17:49:22.588965Z",31,1.51,5,"Positive","2024-06-09T17:49:22.588965Z","positive","ryshana1listru"
32,"1","Интересный Очень интересные фильмы. Всегда новые и новые фильмы и сериалы. Бесплатно можно посмотреть любой фильм. Всегда пользуюсь этой компанией. Помню каждый фильм что смотрела здесь и не разу не разочаровалась в каком либо не качестве...  Качественный контент, хорошее качество фильма, интересные фильмы, бесплатный просмотр.   Допустима реклама ","2024-06-09T17:49:26.255094Z",32,1.551,5,"Positive","2024-06-09T17:49:26.255094Z","positive","Loginotrabota"
33,"1","Удобно, хороший интерфейс и цена подписки Отличный сервис для просмотра видео-контента Хорошее качество видео и звука. Большинство новинок в 4к качестве Я считаю, что самый известный онлайн-кинотеатр, красивый удобный интерфейс и качество...  Высококачественная оригинальная озвучка  Отличное приложение и функции  Автономная загрузка на мобильных устройствах  Нет","2024-06-09T17:49:29.972299Z",33,1.766,4,"Positive","2024-06-09T17:49:29.972299Z","positive","1shelk"
34,"1","Если говорить или писать кратко , то это однозначно любовь )) NETFLIX привлёк одним из очень интересных сериалов «Бумажный дом» и ещё одним не менее интересным фильмом «Люпен» однозначно рекомендую к просмотру. После просмотра этих фильмов, netflix стал просто любимым онлайн-кинотеатром нашей семьи...  Множество фильмов и сериалов , разнообразие , качество потрясное   Не нашла ","2024-06-09T17:49:35.163809Z",34,2.168,5,"Positive","2024-06-09T17:49:35.163809Z","positive","Ali0707"
35,"1","То, что нужно! Интересно и удобно. Само название Netflix говорить должно само за себя. Это очень удобный сервис. Все самое новое интересное и рейтинговое только здесь! Это не реклама, а своё мнение о пользовании 2-х летнем. Тут и сериалы, которые только...  Качество, контент, премиум .  Проблемы в России. Немного дороговато.","2024-06-09T17:49:40.043462Z",35,2.295,4,"Positive","2024-06-09T17:49:40.043462Z","positive","Frist74"
36,"1","Отличный вариант для всей семьи Netflix это отличный выбор доля всей семьи, есть фильмы всех возможных жанров, большинство из которых удостоены наград Есть контент для детей Отличное качество звука и видео Но всё же есть и минусы, с которыми я...  Огромное количество фильмов,сериалов и передач  Не на всех фильмах есть перевод.не дешево","2024-06-09T17:49:43.638809Z",36,1.603,4,"Positive","2024-06-09T17:49:43.638809Z","positive","vikanikitina95"
37,"1","Этот сервис производит отличное впечатление В целом, Netflix - это фантастическая потоковая платформа, которая предоставляет замечательный оригинальный контент. Несмотря на наличие таких недостатков, как ротация контента, различия в качестве контента и региональные ограничения, о которых я напишу чуть ниже, плюсы...  Много фильмов и сериалов, качество  Часто много ""повестки"", ротация контента","2024-06-09T17:49:46.987621Z",37,1.416,4,"Positive","2024-06-09T17:49:46.987621Z","positive","Kiriilll2323"
38,"1","Неудачная подписка, больше не планируем покупать Доброго дня! Год назад покупали с мужем подписку на Нетфликс, использовали полгода. Мнение о ней самое противоречивое, вроде выбор есть, но смотреть нечего. У новых сериалов нет русского языка, что тоже иногда минус, так как...  Оригинальные сериалы (Половое воспитание, Очень странные дела)  Цена, выбор фильмов и сериалов","2024-06-09T17:49:51.580579Z",38,1.797,3,"Negative","2024-06-09T17:49:51.580579Z","negative","Ekaterina-bs"
39,"1","Много фильмов на любые предпочтения. Хорошое приложение простой интерфейс, есть пробная версия на 30 дней, что бы понять покупать подписку или нет, много разнообразного жанра, на все вкусы, можно смотреть на любом устройстве, так же в этом приложении нет рекламы...  Много жанров, нет рекламы, есть пробный период на 30 дней,простой интерфейс,   можно скачивать фильмы.    Единственное, что хочется сказать редко выходят новинки.","2024-06-09T17:49:57.443968Z",39,1.974,5,"Positive","2024-06-09T17:49:57.443968Z","positive","MariSt69"
40,"1","Хороший сайт. Самый лучший сайт для просмотра фильмов, никогда не тормозит, всегда все ярко и интересно. Неплохая цена, и отличная работа да свою...  Не тормозит.  Мало рекламы.  Хороший звук.  Хорошая передача цветов.  Отличная цена для подписки данного сервиса.    Единственное,что можно считать за минус,это то,что только по подписке,можно смотреть фильмы без интернета.","2024-06-09T17:50:01.572011Z",40,1.418,5,"Positive","2024-06-09T17:50:01.572011Z","positive","tsvetkova988"
41,"1","Офигенный Обожала Netflix до его ухода из России. С мужем не смотрели ничего, кроме фильмов с Netflix. Шикарные фильмы, документальные, исторические, познавательные. Много нового и интересного узнали, благодаря Netflix. Очень жаль, что ушёл с российского рынка...  Контент на любой вкус  Ушёл из России","2024-06-09T17:50:04.873102Z",41,1.485,5,"Positive","2024-06-09T17:50:04.873102Z","positive","Lalapland"
42,"1","балдею Все мы в курсе что за махина этот Netflix. Вот и я присоединилась к этой огромной сети. Просто сносит мозг от радости и не могу не поделиться. Недавно друг предложил мне свой аккаунт чтобы я...  качество, выбор, удобство  нет","2024-06-09T17:50:08.689744Z",42,1.465,5,"Positive","2024-06-09T17:50:08.689744Z","positive","natalochka-san"
43,"1","Любимая платформа для просмотра фильмов и сериалов Один из моих любимых платформ для просмотров фильмов и сериалов! Большой выбор, высокое качество и хорошая озвучка - это все про нетфликс! Выбор как и русских, так и зарубежных фильмов/сериалов. Особенно важно, что самые долгожданные...  Доступность, большой выбор, высокое качество   Не на все фильмы и сериалы есть русская озвучка, приходится ждать","2024-06-09T17:50:12.085703Z",43,1.546,5,"Positive","2024-06-09T17:50:12.085703Z","positive","Black888"
44,"1","Удовлетворительное Пользовался разными кино-сервисами, пытался найти самый удобный и качественный В итоге после короткого исполтзования этого приложения понял, что это то что нужно. Простая регистрация, удобство использования и куча классных фильмов на любой вкус. Немного долго...  Простая регистрация  Удобство использования  Классный дизайн  Оптимизация на уровне  Нет","2024-06-09T17:51:48.039073Z",44,9.45,5,"Positive","2024-06-09T17:51:48.039073Z","positive","LurMiss"
45,"1","Отличный сервис, предназначенный для просмотра фильмов и сериалов Замечательная платформа для просмотра фильмов и сериалов. Что сподвигло на приобретение подписки, так это то, что Netflix является самым знаменитый онлайн-кинотеатр. Во-вторых, качество сериалов на высшем уровне (сама картинка и звук). В-третьих, всем предлагается возможность...  Хороший звук, отличная картинка и качество. Удобный интерфейс и профессиональный перевод.    Не обнаружено","2024-06-09T17:51:52.538463Z",45,2.013,5,"Positive","2024-06-09T17:51:52.538463Z","positive","aaneego"
46,"1","Довольна Я часто выбираю новинки именно на Netflix, так как здесь всегда есть актуальные фильмы и сериалы. Здесь представлено огромное количество контента, включая русские профессиональные переводы. Качество картинки и звука на Netflix просто шикарное. Я всегда...  Четкий звук; постоянно появляются новинки сериалов и фильмов  Привязка карты; цена подписки","2024-06-09T17:51:56.662313Z",46,1.593,4,"Positive","2024-06-09T17:51:56.662313Z","positive","Maria022"
47,"1","рекомендую Обожаю Нетфликс) Он славится первую очередь количеством проектов, которые выходят на их сервисе. Они создают сотни фильмов и сериалов в год, стараясь завлечь как можно больше подписчиков, а это огромный...  + Очень большое разнообразие фильмов,сериалов и т.п  +Отличное качество звука и самого изображения     -Не везде есть перевод","2024-06-09T17:52:01.529778Z",47,1.774,5,"Positive","2024-06-09T17:52:01.529778Z","positive","blublade"
48,"1","Я фанатка Здравствуйте читали отзовика. Я давный фанатка Netflix. Их сериалы фильмы и мультфильмы превосходят мои ожидания чаще всего. Так же мне нравится создатели не забывают о коротких сериалах и делают их захватывающими. Одним словом...  Новики  Нет нет нет","2024-06-09T17:52:05.444516Z",48,1.42,5,"Positive","2024-06-09T17:52:05.444516Z","positive","Romshca"
49,"1","Сойдёт Здравствуйте дорогие читатели отзовик! Я часто смотрю сериалы, фильмы, мультфильмы, аниме, дорамы, документальные фильмы и прочее... и по мимо гугла, смотрела ещё и на Нетфликсе. Всё очень нравилось, да и сейчас нравится. Сериалы классные, никогда...  Разнообразие фильмов, сериалов, функции, и многое другое.   Иногда нет русской озвучки и на многих других языках (но есть субтитры).","2024-06-09T17:52:10.542245Z",49,2.135,4,"Positive","2024-06-09T17:52:10.542245Z","positive","Ялюблюлюдей"
50,"1","Инновационный и разнообразный. Один из самых важных аспектов Netflix - это его удобство. Я могу смотреть фильмы и сериалы на любом устройстве - телевизоре, компьютере или смартфоне. Это действительно удобно для просмотра в пути.  Плюсы: широкий выбор контента, персонализированные рекомендации, удобство использования на разных устройствах, собственные качественные сериалы.     Минусы: ограничения в доступе к некоторым контентам, высокая стоимость подписки, зависимость от интернет-соединения.","2024-06-09T17:52:21.309288Z",50,8.089,5,"Positive","2024-06-09T17:52:21.309288Z","positive","Artiommss"
51,"1","Очень удобно и комфортно Множество озвучек, субтитров, хорошее качество картинки и хороший звук. Есть сортировка по жанрам. Есть фильмы, мультфильмы, сериалы, аниме, мультики. На аккаунт можно добавить несколько...  Можно смотреть фильмы в оригинале  Нет","2024-06-09T17:52:30.805332Z",51,1.858,5,"Positive","2024-06-09T17:52:30.805332Z","positive","kiykka"
52,"1","Отличный канал! Я подписалась на Netflix уже более года назад. Сам интерфейс на английском языке. И возможно, первое время придется приноровиться. Но там нет ничего сложного. Очень много фильмов, сериалов и передач, в том числе с русским...  много новинок, много фильмов с русским переводом  не нашла","2024-06-09T17:52:34.450945Z",52,1.472,5,"Positive","2024-06-09T17:52:34.450945Z","positive","Severnaya Dama"
53,"1","Идеальное решение Очень удобный кинотеатр. Можно посмотреть все новинки интересных сериалов. Качество изображения и звук на высоте. Пока не нашла более подходящего для меня...  Качество  Не обнаружила ","2024-06-09T17:52:38.120925Z",53,1.443,5,"Positive","2024-06-09T17:52:38.120925Z","positive","Dinasdivana"
54,"1","Просто великолепный сервис для просмотра сериалов и фильмов различного жанра Netflix - это сайт с множеством сериалов и фильмов, который захватил весь мир. Благодаря огромной библиотеке как новых, так и классических фильмов и сериалов, неудивительно, что Netflix стал основным сервисом для всех, кто любит смотреть...  Разнообразие контента  Удобство в пользовании   Множество инструментов   Цена подписки( ","2024-06-09T17:52:42.128431Z",54,1.591,5,"Positive","2024-06-09T17:52:42.128431Z","positive","Roflman"
55,"1","Большой выбор фильмов и сериалов бесплатно Приветствую всех, кто читает отзывы. В Netflix маленький выбор фильмов на русском. Многие фильмы даже не переведены на русский язык. Конечно, есть субтитры, но так не удобно смотреть, потому что хочется погрузиться в сюжет, а...  Можно смотреть, что хочешь в хорошем качестве   Мало хороших фильмов ","2024-06-09T17:52:46.594050Z",55,1.933,3,"Negative","2024-06-09T17:52:46.594050Z","negative","Lizaurtaeva"
56,"1","Хороший кинотеатр Нравится что много фильмов и сериалов можно посмотреть в хорошем качестве и на другом языке, качество на высшем уровне, пользуюсь это площадкой не больше года, радует что можно смотреть и с телефона и телевизора, нравятся...  Много контента для просмотра, можно смотреть в отличном качестве, много разных сериалов и фильмов, хорошее качество звука   Пока не нашла","2024-06-09T17:52:50.944465Z",56,2.416,5,"Positive","2024-06-09T17:52:50.944465Z","positive","Lubovkovalcuk78"
57,"1","Моя боль( Netflix - это моя любовь, ну почему его запретили в нашей стране((((( С карантина пользовалась этим кинотеатром, обожала до боли в сердце, я конечно не киноман, да и впх принципе могу использовать КиноПоиск, но есть...  Отличные  фильмы и сериалы с хорошим сюжетом  Запретили в России и теперь тяжело смотреть, приходится пытаться обходить эту систему дополнительной оплатой, через непроверенные сайты(","2024-06-09T17:52:58.771421Z",57,5.413,5,"Positive","2024-06-09T17:52:58.771421Z","positive","Lirikabixi"
58,"1","Лучшее, что со мной произошло! Все наверное слышали про Нетфликс, но мало кто им пользуется. Популярность эта платформа набрала и во время карантина. очень классная платформа. На ней можно посмотреть сериалы, фильмы, мультфильмы. Можно на английском, с субтитрами, на русском...  -подбор сериалов, кино под тебя -можно подтянуть английский -нет рекламы  -их нет","2024-06-09T17:53:03.128302Z",58,2.196,5,"Positive","2024-06-09T17:53:03.128302Z","positive","Сарах"
59,"1","отличная платформа! Отличный онлайн кинотеатр! Хорошая картинка, звук, множество фильмов и сериалов! Люблю на выходных засесть и посмотреть сериалы, очень легко находить все! Есть все на любой вкус! Качество...  звук, на лютой вкус!  не нашла","2024-06-09T17:53:10.409618Z",59,1.792,5,"Positive","2024-06-09T17:53:10.409618Z","positive","SAMOS278 IJSKX"
60,"1","Оригинальность Нетфликс лучший среди ""документальщиков"", снимают классные и захватывающие фильмы и сериалы. Регулярно пользуюсь данным сервисом, широкий простор для выбора просмотра на досуге, как одному, так и в семье, под любую...  Оригинальный  Не обнаружено","2024-06-09T17:53:15.437405Z",60,1.817,5,"Positive","2024-06-09T17:53:15.437405Z","positive","Я Артёмка"
61,"1","Очень удобный Фактически на сегодня это единственный сервис предоставляющий контент и не просто какие-то программы, а фильмы и сериалы. Вчера попробовала на Sony SmartTV... картинка просто супер. А платить или не платить, каждый решает сам по наличию...  Загрузка фильмов в оффлайн на устройства  Настройка и отображение субтитров  Невысокая цена на подписку по сравнению с конкурентами  Можно приобретать или арендовать контент от других студий  Смена языка  Полноценной бесплатной подписки не предусмотрено","2024-06-09T17:53:20.362353Z",61,2.549,5,"Positive","2024-06-09T17:53:20.362353Z","positive","Valeria151097"
62,"1","Лучший онлайн кинотеатр Недавно на своей консоли я увидел приложение Нетфликс и сразу же его установил и не пожалел, Нетфликс лучший онлайн кинотеатр, на Нетфликсе есть все лучшие сериалы, аниме, фильмы и мультсериалы, так же в приложение удобный...  Удобный интерфейс, бесплатная подписка, сами фильмы и сериала  цена за подписку","2024-06-09T17:53:24.369479Z",62,1.83,5,"Positive","2024-06-09T17:53:24.369479Z","positive","Linquizz"
63,"1","Мое общее впечатление о Netflix положительное Netflix- это платформа, которая отлично подходит для любителей фильмов и сериалов. Мне очень нравится огромная библиотека контента в различных жанрах, включая оригинальные программы, которые отличаются качественным сюжетом и актерской игрой. В целом, Netflix представляет собой...  Огромный выбор контента: Netflix предлагает огромную библиотеку фильмов, сериалов, документальных программ и оригинального контента.  Ограничение доступа к контенту: Некоторые фильмы и сериалы могут быть недоступны в некоторых странах из-за правовых ограничений.","2024-06-09T17:53:29.877028Z",63,3.38,3,"Negative","2024-06-09T17:53:29.877028Z","negative","Parsifal01"
64,"1","Очень удобный, и крутой кинотеатр Нетфликс один из самых крутых кинотеатр такие интересные фильмы, все года с интересной тематикой и сценарием, не разумные видео плохого фильма на нетфликс, все самое лучше, очень рекомендую посмотреть сериалы от нетфликс как : избежать...  Очень крутые сериалы, фильмы, мультфильм, много очень интересных и захватывающие, очень глубоки и не утомительные.  Не знаю что написать напишу, АННА ЛИЗЗА КИТИНГ КРАШ)))","2024-06-09T17:53:35.437192Z",64,3.417,5,"Positive","2024-06-09T17:53:35.437192Z","positive","Dengallager1408"
